title,publish_date,media_name,url,cluster,title_total_frequency,title_date_frequency,publish_year,publish_month,publish_day,days_since_min,label,cluster_name,topics
Colorado baker loses appeal over transgender birthday cake,1/26/23,seattletimes.com,https://www.seattletimes.com/nation-world/nation/colorado-baker-loses-appeal-over-transgender-birthday-cake/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,94,7,5,2023,1,26,1121,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado baker loses appeal over transgender birthday cake,1/26/23,upi.com,https://www.upi.com/Top_News/US/2023/01/26/colorado-cake-shop-refuses-transgender-appeal-court-decision/1461674777076/,94,7,5,2023,1,26,1121,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado baker loses appeal over transgender birthday cake,1/27/23,nbcnews.com,https://www.nbcnews.com/nbc-out/out-news/colorado-baker-loses-appeal-transgender-birthday-cake-rcna67833,94,7,2,2023,1,27,1122,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado baker loses appeal over transgender birthday cake,1/27/23,ncronline.org,https://www.ncronline.org/news/colorado-baker-loses-appeal-over-transgender-birthday-cake,94,7,2,2023,1,27,1122,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado baker sued for refusing gender transition cake,3/22/21,abcnews.go.com,https://abcnews.go.com/Business/wireStory/colorado-baker-sued-refusing-gender-transition-cake-76616998,94,4,4,2021,3,22,446,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado baker sued for refusing gender transition cake,3/22/21,seattletimes.com,https://www.seattletimes.com/business/colorado-baker-sued-for-refusing-gender-transition-cake/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,94,4,4,2021,3,22,446,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado baker sued for refusing gender transition cake,3/22/21,sfgate.com,https://www.sfgate.com/news/article/Colorado-baker-sued-for-refusing-gender-16045033.php,94,4,4,2021,3,22,446,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado baker sued for refusing gender transition cake,3/22/21,stltoday.com,https://www.stltoday.com/news/national/colorado-baker-sued-for-refusing-gender-transition-cake/article_2ebab73e-be17-558e-a5a7-844aa28975e9.html,94,4,4,2021,3,22,446,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado baker sued for refusing to make birthday cake for transgender woman,3/23/21,denverpost.com,https://www.denverpost.com/2021/03/23/colorado-baker-lawsuit-gender-transition-birthday-cake/,94,1,1,2021,3,23,447,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado baker who refused to make same-sex wedding cake challenged over 'gender transition cake',10/6/22,foxnews.com,https://www.foxnews.com/us/co-baker-won-case-refusing-make-gay-wedding-cake-challenged-again-gender-transition-cake,94,1,1,2022,10,6,1009,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado baker who sparked SCOTUS case fights ruling on cake celebrating gender transition,10/6/22,alternet.org,https://www.alternet.org/2022/10/transgender/,94,1,1,2022,10,6,1009,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
"Colorado court rules against baker, Jack Phillips, who declined to customize cake celebrating gender transition",1/27/23,theblaze.com,https://www.theblaze.com/news/colorado-court-rules-against-baker-jack-phillips-who-declined-to-customize-cake-celebrating-gender-transition,94,1,1,2023,1,27,1122,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado expands eligibility for monkeypox vaccine. Here’s who can get it now.,9/2/22,denverpost.com,https://www.denverpost.com/2022/09/02/monkeypox-vaccine-colorado/,39,1,1,2022,9,2,975,Monkeypox Outbreak,Monkeypox Outbreak,healthcare
The U.S. Companies Pulling Back on Diversity Initiatives,1/24/25,time.com,https://time.com/7209960/companies-rolling-back-dei/,43,1,1,2025,1,24,1850,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
These Companies Have Rolled Back DEI Policies—McDonald’s Is Latest To Abandon Diversity Standards,1/7/25,forbes.com,https://www.forbes.com/sites/conormurray/2025/01/07/these-companies-have-rolled-back-dei-policies-mcdonalds-is-latest-to-abandon-diversity-standards/,43,1,1,2025,1,7,1833,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which U.S. companies are pulling back on diversity initiatives?,1/24/25,latimes.com,https://www.latimes.com/business/story/2025-01-24/which-us-companies-are-pulling-back-on-diversity-initiatives,43,1,1,2025,1,24,1850,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,1/7/25,inquirer.com,https://www.inquirer.com/wires/ap/which-us-companies-are-pulling-back-diversity-initiatives-20250106.html,43,28,4,2025,1,7,1833,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,1/7/25,newsday.com,https://www.newsday.com/business/diversity-dei-goals-companies-lawsuits-a54266,43,28,4,2025,1,7,1833,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,1/10/25,chicagotribune.com,https://www.chicagotribune.com/2025/01/10/which-us-companies-are-pulling-back-on-diversity-initiatives-2/,43,28,6,2025,1,10,1836,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,1/10/25,inquirer.com,https://www.inquirer.com/wires/ap/which-us-companies-are-pulling-back-diversity-initiatives-20250110.html,43,28,6,2025,1,10,1836,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,1/10/25,newsday.com,https://www.newsday.com/business/dei-diversity-equity-inclusion-meta-facebook-mcdonalds-x07813,43,28,6,2025,1,10,1836,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,1/23/25,inquirer.com,https://www.inquirer.com/wires/ap/which-us-companies-are-pulling-back-diversity-initiatives-20250123.html,43,28,2,2025,1,23,1849,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Colorado high court to hear case against Christian baker who refused to make LGBTQ-themed cake,10/3/23,abcnews.go.com,https://abcnews.go.com/Business/wireStory/colorado-high-court-hear-case-christian-baker-refused-103693218,94,5,5,2023,10,3,1371,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado high court to hear case against Christian baker who refused to make LGBTQ-themed cake,10/3/23,centralmaine.com,https://www.centralmaine.com/2023/10/03/colorado-high-court-to-hear-case-against-christian-baker-who-refused-to-make-lgbtq-themed-cake/,94,5,5,2023,10,3,1371,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado high court to hear case against Christian baker who refused to make LGBTQ-themed cake,10/3/23,dailykos.com,https://www.dailykos.com/stories/2023/10/3/2197104/-Colorado-high-court-to-hear-case-against-Christian-baker-who-refused-to-make-LGBTQ-themed-cake?pm_campaign=blog&pm_medium=rss&pm_source=main,94,5,5,2023,10,3,1371,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado high court to hear case against Christian baker who refused to make LGBTQ-themed cake,10/3/23,seattletimes.com,https://www.seattletimes.com/business/colorado-high-court-to-hear-case-against-christian-baker-who-refused-to-make-another-lgbtq-cake/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,94,5,5,2023,10,3,1371,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado high court to hear case against Christian baker who refused to make trans-themed cake,10/4/23,nbcnews.com,https://www.nbcnews.com/nbc-out/out-politics-and-policy/colorado-high-court-hear-case-christian-baker-refused-make-trans-theme-rcna118815,94,1,1,2023,10,4,1372,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado monkeypox vaccinations drop as new cases decline,10/1/22,denverpost.com,https://www.denverpost.com/2022/10/01/colorado-monkeypox-vaccine-jynneos-cdc/,39,1,1,2022,10,1,1004,Monkeypox Outbreak,Monkeypox Outbreak,healthcare
Which US companies are pulling back on diversity initiatives?,1/23/25,newsday.com,https://www.newsday.com/business/diversity-equity-inclusion-us-companies-a53668,43,28,2,2025,1,23,1849,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Colorado's Supreme Court dismisses suit against baker who wouldn't make a cake for transgender woman,10/8/24,inquirer.com,https://www.inquirer.com/wires/ap/colorados-supreme-court-dismisses-suit-against-baker-who-wouldnt-make-cake-transgender-woman-20241008.html,94,3,2,2024,10,8,1742,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado's Supreme Court dismisses suit against baker who wouldn't make a cake for transgender woman,10/8/24,newsday.com,https://www.newsday.com/news/nation/colorado-baker-transgender-cake-lawsuit-dismissed-f39761,94,3,2,2024,10,8,1742,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado's Supreme Court dismisses suit against baker who wouldn't make a cake for transgender woman,10/9/24,ncronline.org,https://www.ncronline.org/news/colorados-supreme-court-dismisses-suit-against-baker-who-wouldnt-make-cake-transgender-woman,94,3,1,2024,10,9,1743,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado’s Supreme Court dismisses suit against baker who wouldn’t make cake for transgender woman,10/9/24,nypost.com,https://nypost.com/2024/10/09/us-news/colorados-supreme-court-dismisses-suit-against-baker-who-wouldnt-make-cake-for-transgender-woman/,94,1,1,2024,10,9,1743,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Colorado’s monkeypox cases are mostly among younger men in the Denver area,8/18/22,denverpost.com,https://www.denverpost.com/2022/08/18/colorado-monkeypox-cases-denver/,39,1,1,2022,8,18,960,Monkeypox Outbreak,Monkeypox Outbreak,healthcare
Colorado’s top court will hear case against Christian baker who refused to make a gender transition-themed cake,10/4/23,fortune.com,https://fortune.com/2023/10/04/colorado-top-court-case-christian-baker-refused-make-gender-transition-cake/,94,1,1,2023,10,4,1372,Transgender Cake Case,Transgender Cake Case,"statePolicy, freeSpeech, bigotry, identity"
Column: Caitlyn Jenner for governor of California? What a terrible idea,4/18/21,latimes.com,https://www.latimes.com/opinion/story/2021-04-18/caitlyn-jenner-governor-california,36,1,1,2021,4,18,473,Jenner Governor Bid,Jenner Governor Bid,"statePolicy, popCulture"
Column: Caitlyn Jenner wants to be California governor. But she's no Ronald Reagan or Arnold Schwarzenegger,4/26/21,latimes.com,https://www.latimes.com/politics/story/2021-04-26/california-recall-newsom-hollywood-celebrities-schwarzenegger-jenner,36,1,1,2021,4,26,481,Jenner Governor Bid,Jenner Governor Bid,"statePolicy, popCulture"
Which US companies are pulling back on diversity initiatives?,2/5/25,seattletimes.com,https://www.seattletimes.com/business/which-us-companies-are-pulling-back-on-diversity-initiatives-4/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,43,28,1,2025,2,5,1862,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Column: Ted Sarandos' Netflix memo on Dave Chappelle is a masterwork of gaslighting,10/12/21,latimes.com,https://www.latimes.com/entertainment-arts/story/2021-10-12/column-ted-sarandos-memo-on-dave-chapelle-is-a-masterwork-of-gaslighting,52,1,1,2021,10,12,650,Chappelle Controversy,Chappelle Controversy,"bigotry, popCulture"
Which US companies are pulling back on diversity initiatives?,2/6/25,inquirer.com,https://www.inquirer.com/wires/ap/which-us-companies-are-pulling-back-diversity-initiatives-20250205.html,43,28,2,2025,2,6,1863,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Comedian Dave Chappelle addresses Netflix transgender controversy in full for first time,10/25/21,oann.com,https://www.oann.com/comedian-dave-chappelle-addresses-netflix-transgender-controversy-in-full-for-first-time/?utm_source=rss&utm_medium=rss&utm_campaign=comedian-dave-chappelle-addresses-netflix-transgender-controversy-in-full-for-first-time,52,1,1,2021,10,25,663,Chappelle Controversy,Chappelle Controversy,"bigotry, popCulture"
Comedian James Acaster's Takedown of Ricky Gervais Trends Following Anti-Trans Netflix Special,5/26/22,hollywoodreporter.com,https://www.hollywoodreporter.com/tv/tv-news/comedian-james-acasters-takedown-of-ricky-gervais-trends-following-anti-trans-netflix-special-1235154396/,52,3,3,2022,5,26,876,Chappelle Controversy,Chappelle Controversy,"bigotry, popCulture"
Which US companies are pulling back on diversity initiatives?,2/6/25,newsday.com,https://www.newsday.com/business/dei-trump-race-gender-ethnicity-diversity-equity-inclusion-companies-policies-i61756,43,28,2,2025,2,6,1863,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
"Comic hits Dave Chappelle in new Netflix special for making trans jokes: 'It's not funny, it's dangerous'",1/1/25,foxnews.com,https://www.foxnews.com/media/comic-hits-dave-chappelle-new-netflix-special-making-trans-jokes-its-not-funny-its-dangerous,52,2,2,2025,1,1,1827,Chappelle Controversy,Chappelle Controversy,"bigotry, popCulture"
Commentary: An unscripted Tony Awards 2023 found meaning and eloquence on a historic night,6/12/23,latimes.com,https://www.latimes.com/entertainment-arts/story/2023-06-12/commentary-unscripted-tony-awards-2023-historic-night,51,2,2,2023,6,12,1258,Emilia Pérez Controversy,Emilia Pérez Controversy,"popCulture, bigotry"
Commentary: Are book bans unconstitutional? They are certainly political,6/18/23,latimes.com,https://www.latimes.com/opinion/story/2023-06-18/la-ed-fighting-book-bans,78,2,1,2023,6,18,1264,Book Bans,Book Bans,"freeSpeech, popCulture"
Commentary: Are book bans unconstitutional? They are certainly political,6/25/23,centralmaine.com,https://www.centralmaine.com/2023/06/25/commentary-are-book-bans-unconstitutional-they-are-certainly-political/,78,2,1,2023,6,25,1271,Book Bans,Book Bans,"freeSpeech, popCulture"
Commentary: Parents seeking book bans want control – to a point,1/23/23,centralmaine.com,https://www.centralmaine.com/2023/01/23/commentary-parents-seeking-book-bans-want-control-to-a-point/,78,1,1,2023,1,23,1118,Book Bans,Book Bans,"freeSpeech, popCulture"
Commentary: The 2023 Tony Award nominations reflect a year of progress and backsliding on Broadway,5/2/23,latimes.com,https://www.latimes.com/entertainment-arts/story/2023-05-02/tony-awards-nominations-reflect-a-broadway-year-of-progress-and-backsliding,51,1,1,2023,5,2,1217,Emilia Pérez Controversy,Emilia Pérez Controversy,"popCulture, bigotry"
Which US companies are pulling back on diversity initiatives?,2/12/25,denverpost.com,https://www.denverpost.com/2025/02/12/companies-dei/,43,28,5,2025,2,12,1869,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,2/12/25,mercurynews.com,https://www.mercurynews.com/2025/02/12/which-us-companies-are-pulling-back-on-diversity-initiatives/,43,28,5,2025,2,12,1869,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,2/12/25,newsday.com,https://www.newsday.com/business/companies-diversity-equity-inclusion-dei-lawsuits-x04682,43,28,5,2025,2,12,1869,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,2/12/25,sandiegouniontribune.com,https://www.sandiegouniontribune.com/2025/02/12/companies-dei/,43,28,5,2025,2,12,1869,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,2/12/25,twincities.com,https://www.twincities.com/2025/02/12/companies-dei/,43,28,5,2025,2,12,1869,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,2/21/25,seattletimes.com,https://www.seattletimes.com/business/which-us-companies-are-pulling-back-on-diversity-initiatives-6/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,43,28,1,2025,2,21,1878,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,2/22/25,ajc.com,https://www.ajc.com/news/nation-world/which-us-companies-are-pulling-back-on-diversity-initiatives/UCEZV4L4UVD6PHE7WISG5LBFPA/,43,28,3,2025,2,22,1879,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,2/22/25,inquirer.com,https://www.inquirer.com/wires/ap/which-us-companies-are-pulling-back-diversity-initiatives-20250221.html,43,28,3,2025,2,22,1879,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,2/22/25,newsday.com,https://www.newsday.com/business/dei-diversity-equity-inclusion-lawsuits-v67602,43,28,3,2025,2,22,1879,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,3/7/25,ajc.com,https://www.ajc.com/news/nation-world/which-us-companies-are-pulling-back-on-diversity-initiatives/QSFPBXP7ZNFTLJX74TVNV7JWSM/,43,28,4,2025,3,7,1892,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,3/7/25,inquirer.com,https://www.inquirer.com/wires/ap/which-us-companies-are-pulling-back-diversity-initiatives-20250307.html,43,28,4,2025,3,7,1892,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,3/7/25,newsday.com,https://www.newsday.com/business/dei-diversity-equity-inclusion-companies-lawsuits-g42415,43,28,4,2025,3,7,1892,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which US companies are pulling back on diversity initiatives?,3/7/25,seattletimes.com,https://www.seattletimes.com/business/which-us-companies-are-pulling-back-on-diversity-initiatives-7/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,43,28,4,2025,3,7,1892,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Which major US companies are pulling back on diversity initiatives?,2/5/25,stltoday.com,https://www.stltoday.com/news/nation-world/which-major-us-companies-are-pulling-back-on-diversity-initiatives/article_a8700d98-e425-11ef-a27b-57e2fd881e4c.html,43,1,1,2025,2,5,1862,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
"Workplace Diversity: What Companies Need To Get Right, Right Now",7/14/20,forbes.com,https://www.forbes.com/sites/hvmacarthur/2020/07/14/workplace-diversity-what-companies-need-to-get-right-right-now/,43,1,1,2020,7,14,195,Corporate Board Diversity,Corporate Board Diversity,"publicSpace, identity, cultureWars"
Robert De Niro Breaks Silence On Daughter Airyn Coming Out As a Trans Woman — 'I Don’t Know What The Big Deal Is',5/1/25,radaronline.com,https://radaronline.com/p/robert-de-niro-breaks-silence-daughter-airyn-comes-out-trans-woman/,44,2,2,2025,5,1,1947,De Niro Supports Trans,De Niro Supports Trans,"popCulture, identity"
Robert De Niro Expresses Support for His Daughter Airyn After She Comes Out as Transgender,5/1/25,hollywoodreporter.com,https://www.hollywoodreporter.com/news/general-news/robert-de-niro-support-daughter-airyn-comes-out-transgender-1236204737/,44,2,2,2025,5,1,1947,De Niro Supports Trans,De Niro Supports Trans,"popCulture, identity"
Robert De Niro Reacts to Daughter Airyn De Niro Coming Out as Trans,5/1/25,eonline.com,https://www.eonline.com/news/1416914/robert-de-niro-on-daughter-airyn-de-niro-coming-out-as-trans?cmpid=rss-syndicate-genericrss-us-top_stories,44,2,2,2025,5,1,1947,De Niro Supports Trans,De Niro Supports Trans,"popCulture, identity"
Robert De Niro Responds to Daughter Coming Out as Transgender,4/30/25,tmz.com,https://www.tmz.com/2025/04/30/robert-de-niro-responds-daughter-coming-out-transgender/,44,1,1,2025,4,30,1946,De Niro Supports Trans,De Niro Supports Trans,"popCulture, identity"
"Coors Light, Miller Lite Sales Spike amid Bud Light Transgender Controversy",4/25/23,breitbart.com,https://www.breitbart.com/pre-viral/2023/04/25/coors-light-miller-lite-sales-spike-bud-light-transgender-controversy/,54,1,1,2023,4,25,1210,Bud Light Boycott,Bud Light Boycott,"bigotry, cultureWars"
Robert De Niro Says He ‘Loves and Supports’ Daughter Airyn as She Comes Out as Trans: ‘Don’t Know What the Big Deal Is’,4/30/25,people.com,https://people.com/robert-de-niro-loves-supports-daughter-airyn-as-she-comes-out-as-trans-11725437,44,2,2,2025,4,30,1946,De Niro Supports Trans,De Niro Supports Trans,"popCulture, identity"
Could Caitlyn Jenner get a new reality show by running for California governor?,4/7/21,mercurynews.com,https://www.mercurynews.com/2021/04/07/could-caitlyn-jenner-get-a-new-reality-show-by-running-for-governor/,36,1,1,2021,4,7,462,Jenner Governor Bid,Jenner Governor Bid,"statePolicy, popCulture"
County offers additional monkeypox vaccination clinics,7/26/22,sandiegouniontribune.com,https://www.sandiegouniontribune.com/news/health/story/2022-07-26/county-offers-additional-monkeypox-vaccination-clinics,39,1,1,2022,7,26,937,Monkeypox Outbreak,Monkeypox Outbreak,healthcare
Court Blocks Arkansas Ban On Treatment For Transgender Children,8/25/22,forbes.com,https://www.forbes.com/sites/brianbushard/2022/08/25/court-blocks-arkansas-ban-on-treatment-for-transgender-children/,126,4,4,2022,8,25,967,Arkansas Trans Youth Care,Arkansas Trans Youth Care,"children, statePolicy, healthcare, identity"
Court Blocks Texas Investigation into Parents of Transgender Children,3/7/22,breitbart.com,https://www.breitbart.com/politics/2022/03/07/texas-court-blocks-abbotts-child-abuse-investigation-parents-transgender-children/,129,1,1,2022,3,7,796,Texas Transgender Care Ban,Texas Transgender Care Ban,"statePolicy, healthcare, bigotry, freeSpeech, identity"
Court Denies Trump Administration Request to Enforce Military Transgender Ban,3/31/25,breitbart.com,https://www.breitbart.com/politics/2025/03/31/appeals-court-denies-trump-admin-request-enforce-military-transgender-ban/,118,2,2,2025,3,31,1916,Trans Military Ban,Trans Military Ban,"federalPolicy, publicSpace, bigotry, identity, freeSpeech"
Robert De Niro Shares 'Love and Support' for Daughter Airyn as She Embraces Trans Identity,5/1/25,rollingstone.com,https://www.rollingstone.com/tv-movies/tv-movie-news/robert-de-niro-support-daughter-airyn-trans-identity-1235329213/,44,1,1,2025,5,1,1947,De Niro Supports Trans,De Niro Supports Trans,"popCulture, identity"
Robert De Niro Shares ‘Love and Support’ for His Daughter Airyn After She Comes Out as Transgender: ‘I Don’t Know What the Big Deal Is’,4/30/25,variety.com,https://variety.com/2025/film/news/robert-de-niro-love-and-support-transgender-daughter-airyn-1236383286/,44,2,2,2025,4,30,1946,De Niro Supports Trans,De Niro Supports Trans,"popCulture, identity"
Court Rules Schools Can Hide Kids’ Gender Identity From Parents,2/27/25,dailysignal.com,https://www.dailysignal.com/2025/02/27/another-court-gets-wrong-rules-school-can-hide-minors-gender-identity-parents/,100,1,1,2025,2,27,1884,California Transgender Policies,California Transgender Policies,"statePolicy, identity"
Court blocks Arkansas ban on health care for transgender kids,8/25/22,theweek.com,https://theweek.com/lgbtq/1016194/court-blocks-arkansas-ban-on-health-care-for-transgender-kids,126,1,1,2022,8,25,967,Arkansas Trans Youth Care,Arkansas Trans Youth Care,"children, statePolicy, healthcare, identity"
Court blocks Trump's ban on transgender military service,5/7/21,cbsnews.com,https://www.cbsnews.com/video/transgender-ban-on-military-service-blocked/,118,1,1,2021,5,7,492,Trans Military Ban,Trans Military Ban,"federalPolicy, publicSpace, bigotry, identity, freeSpeech"
Court hears arguments on Arkansas trans youth treatment ban,6/15/22,abcnews.go.com,https://abcnews.go.com/Health/wireStory/court-hears-arguments-arkansas-trans-youth-treatment-ban-85414186,126,4,4,2022,6,15,896,Arkansas Trans Youth Care,Arkansas Trans Youth Care,"children, statePolicy, healthcare, identity"
Court hears arguments on Arkansas trans youth treatment ban,6/15/22,arkansasonline.com,https://www.arkansasonline.com/news/2022/jun/15/court-hears-arguments-on-arkansas-trans-youth-treatment-ban/,126,4,4,2022,6,15,896,Arkansas Trans Youth Care,Arkansas Trans Youth Care,"children, statePolicy, healthcare, identity"
Court hears arguments on Arkansas trans youth treatment ban,6/15/22,seattletimes.com,https://www.seattletimes.com/seattle-news/health/court-hears-arguments-on-arkansas-trans-youth-treatment-ban/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,126,4,4,2022,6,15,896,Arkansas Trans Youth Care,Arkansas Trans Youth Care,"children, statePolicy, healthcare, identity"
Court hears arguments on Arkansas trans youth treatment ban,6/15/22,stltoday.com,https://www.stltoday.com/lifestyles/health-med-fit/court-hears-arguments-on-arkansas-trans-youth-treatment-ban/article_4e68b10f-f3b7-51c6-bfbf-9ee30c4cfbbe.html,126,4,4,2022,6,15,896,Arkansas Trans Youth Care,Arkansas Trans Youth Care,"children, statePolicy, healthcare, identity"
Robert De Niro Stands Firm on 'Support' for His Children After Daughter Airyn Comes Out as Trans,6/5/25,people.com,https://people.com/robert-de-niro-support-daughter-airyn-coming-out-transgender-11748899,44,1,1,2025,6,5,1982,De Niro Supports Trans,De Niro Supports Trans,"popCulture, identity"
Robert De Niro Supports Son Coming Out Transgender: 'I Love and Support Airyn as My Daughter',5/1/25,breitbart.com,https://www.breitbart.com/entertainment/2025/05/01/robert-de-niro-supports-son-coming-out-transgender-i-love-all-my-children/,44,1,1,2025,5,1,1947,De Niro Supports Trans,De Niro Supports Trans,"popCulture, identity"
Robert De Niro Talks Supporting Trans Daughter,6/5/25,buzzfeed.com,https://www.buzzfeed.com/ellendurney/robert-de-niro-supporting-trans-daughter,44,2,2,2025,6,5,1982,De Niro Supports Trans,De Niro Supports Trans,"popCulture, identity"
Robert De Niro and Toukie Smith’s daughter Airyn comes out as a trans woman,5/1/25,seattletimes.com,https://www.seattletimes.com/nation-world/robert-de-niro-and-toukie-smiths-daughter-airyn-comes-out-as-a-trans-woman/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,44,2,2,2025,5,1,1947,De Niro Supports Trans,De Niro Supports Trans,"popCulture, identity"
Robert De Niro has shared his 'love and support' for his transgender daughter Airyn De Niro. Meet all of his 7 children.,5/1/25,businessinsider.com,https://www.businessinsider.com/robert-de-niro-meet-his-children-biological-kids-grandchildren,44,2,2,2025,5,1,1947,De Niro Supports Trans,De Niro Supports Trans,"popCulture, identity"
Robert De Niro makes rare comment about transgender daughter Airyn,6/5/25,nypost.com,https://nypost.com/2025/06/05/entertainment/robert-de-niro-makes-rare-comment-about-transgender-daughter-airyn/,44,2,2,2025,6,5,1982,De Niro Supports Trans,De Niro Supports Trans,"popCulture, identity"
Court rules Arkansas can't ban gender-affirming treatment for transgender youth,8/25/22,rawstory.com,https://www.rawstory.com/arkansas-anti-trans-bill-hold/,126,1,1,2022,8,25,967,Arkansas Trans Youth Care,Arkansas Trans Youth Care,"children, statePolicy, healthcare, identity"
"Court rules Arkansas can't enforce ban on transgender hormone treatment, surgeries for kids under 18",8/25/22,foxnews.com,https://www.foxnews.com/us/court-rules-arkansas-cant-enforce-ban-transgender-hormone-treatment-surgeries-kids-under-18,126,1,1,2022,8,25,967,Arkansas Trans Youth Care,Arkansas Trans Youth Care,"children, statePolicy, healthcare, identity"
Robert De Niro on Trans Daughter Airyn: 'You Have To Support Them',6/5/25,usmagazine.com,https://www.usmagazine.com/celebrity-moms/news/robert-de-niro-on-trans-daughter-airyn-you-have-to-support-them/,44,2,2,2025,6,5,1982,De Niro Supports Trans,De Niro Supports Trans,"popCulture, identity"
